Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772849642,50,,Aggregated,39.300000,30.400000,3,4,4,5,7,23,2000,2100,2100,2200,2200,1021,732,3,104.27578432730834,2.605200046673417,2160.2996999863535,168.4045053868756
1772849643,50,,Aggregated,39.000000,30.300000,3,4,4,5,7,22,2000,2100,2100,2200,2200,1059,758,3,100.67141170761212,2.605200046673417,2160.2996999863535,168.01227573182248
1772849644,50,,Aggregated,39.200000,30.300000,3,4,4,5,7,12,2000,2100,2100,2200,2200,1099,791,3,97.1439561401549,2.605200046673417,2160.2996999863535,167.57233848953595
1772849645,50,,Aggregated,38.600000,28.900000,3,4,4,5,6,11,2000,2100,2100,2200,2200,1134,822,3,94.24558535917963,2.605200046673417,2160.2996999863535,167.19223985890653
1772849646,50,,Aggregated,38.700000,28.700000,3,4,4,5,6,11,2000,2100,2100,2200,2200,1173,850,3,91.22675728689616,2.605200046673417,2160.2996999863535,166.85677749360613
1772849647,50,,Aggregated,38.900000,29.600000,3,4,4,5,6,10,2000,2100,2100,2200,2200,1213,879,3,88.34332093843685,2.605200046673417,2160.2996999863535,166.53256389117888
1772849648,50,,Aggregated,38.500000,29.500000,3,4,4,5,6,10,2000,2100,2100,2200,2200,1252,904,3,85.69942659641893,2.605200046673417,2160.2996999863535,166.26517571884983
1772849649,50,,Aggregated,39.000000,29.200000,3,4,4,5,6,9,2000,2100,2100,2200,2200,1292,931,3,83.16186633038164,2.605200046673417,2160.2996999863535,165.99613003095976
1772849650,50,,Aggregated,39.100000,28.500000,3,4,4,5,6,9,2000,2100,2100,2200,2200,1331,956,3,80.83272524297679,2.605200046673417,2160.2996999863535,165.7603305785124
1772849651,50,,Aggregated,38.400000,27.300000,3,4,4,5,6,9,2000,2100,2100,2200,2200,1371,986,3,78.58531276187992,2.605200046673417,2160.2996999863535,165.49744711889133
1772849652,50,,Aggregated,38.600000,27.700000,3,4,4,5,6,9,2000,2100,2100,2200,2200,1404,1015,3,76.82655904305425,2.605200046673417,2160.2996999863535,165.258547008547
1772849653,50,,Aggregated,38.900000,28.100000,3,4,4,5,6,9,2000,2100,2100,2200,2200,1445,1046,3,74.75073812883927,2.605200046673417,2160.2996999863535,165.01522491349482
1772849654,50,,Aggregated,38.400000,28.300000,3,4,4,5,6,9,2000,2100,2100,2200,2200,1484,1075,3,72.89077722149929,2.605200046673417,2160.2996999863535,164.7998652291105
1772849655,50,,Aggregated,38.500000,28.700000,3,4,4,5,6,8,2000,2100,2100,2200,2200,1528,1105,3,70.88465686961862,2.605200046673417,2160.2996999863535,164.58965968586386
1772849656,50,,Aggregated,38.100000,28.100000,3,4,4,5,6,8,2000,2100,2100,2200,2200,1569,1139,3,69.12555583023186,2.605200046673417,2160.2996999863535,164.36201402166986
1772849657,50,,Aggregated,39.100000,28.200000,3,3,4,5,6,8,2000,2000,2100,2200,2200,1612,1172,3,67.37405781489139,2.605200046673417,2160.2996999863535,164.15384615384616
1772849658,50,,Aggregated,39.600000,28.700000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1653,1201,3,65.79596007141947,2.605200046673417,2160.2996999863535,163.98185117967333
1772849659,50,,Aggregated,39.900000,29.400000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1691,1226,3,64.39958840728661,2.605200046673417,2160.2996999863535,163.8421052631579
1772849660,50,,Aggregated,40.200000,30.000000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1737,1259,3,62.800238397541825,2.605200046673417,2160.2996999863535,163.66378814047206
1772849661,50,,Aggregated,39.900000,29.600000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1768,1283,3,61.75880022391748,2.605200046673417,2160.2996999863535,163.53789592760182
1772849662,50,,Aggregated,40.300000,30.300000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1815,1319,3,60.25788528760049,2.5905000511556864,2160.2996999863535,163.35757575757575
1772849663,50,,Aggregated,39.600000,29.700000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1851,1346,3,59.157454401912766,2.5905000511556864,2160.2996999863535,163.22906537007023
1772849664,50,,Aggregated,40.700000,30.200000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1896,1380,3,57.85144657070477,2.5905000511556864,2160.2996999863535,163.07383966244726
1772849665,50,,Aggregated,40.700000,30.000000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1925,1401,3,57.03188841448879,2.5905000511556864,2160.2996999863535,162.98285714285714
1772849666,50,,Aggregated,41.300000,30.600000,3,4,4,5,6,8,2000,2000,2100,2200,2200,1966,1434,3,55.92215503483067,2.5905000511556864,2160.2996999863535,162.84028484231942
1772849667,50,,Aggregated,39.800000,29.700000,3,3,4,5,6,8,2000,2000,2100,2200,2200,2001,1459,3,55.00307551148566,2.5905000511556864,2160.2996999863535,162.74062968515742
1772849668,50,,Aggregated,39.300000,29.300000,3,3,4,5,6,8,2000,2000,2100,2200,2200,2050,1496,3,53.77800819475385,2.5905000511556864,2160.2996999863535,162.5960975609756
